x,y,z,time
6.914454,-6.387730,4.611232,00:44:11.340000
6.943185,-6.339846,4.644751,00:44:11.358000
7.005434,-6.315904,4.654328,00:44:11.381000
7.048530,-6.268020,4.639963,00:44:11.395000
7.048530,-6.200983,4.563348,00:44:11.421000
7.043741,-6.153099,4.448427,00:44:11.436000
7.038953,-6.205771,4.376601,00:44:11.461000
7.015011,-6.330269,4.381389,00:44:11.475000
6.976704,-6.426037,4.453215,00:44:11.503000
6.938396,-6.426037,4.505888,00:44:11.517000
6.914454,-6.354211,4.534618,00:44:11.539000
6.914454,-6.301539,4.577713,00:44:11.559000
6.943185,-6.306327,4.596867,00:44:11.579000
6.952762,-6.339846,4.587290,00:44:11.601000
6.947973,-6.339846,4.587290,00:44:11.633000
6.967127,-6.311116,4.558560,00:44:11.646000
6.991069,-6.296751,4.520253,00:44:11.659000
6.976704,-6.320693,4.525041,00:44:11.676000
6.943185,-6.359000,4.539406,00:44:11.698000
6.914454,-6.426037,4.544195,00:44:11.721000
6.895301,-6.493075,4.520253,00:44:11.735000
6.895301,-6.517017,4.477157,00:44:11.769000
6.919243,-6.493075,4.472369,00:44:11.781000
6.933608,-6.435614,4.515464,00:44:11.795000
6.928820,-6.373365,4.582502,00:44:11.821000
6.904878,-6.349423,4.620809,00:44:11.837000
6.890512,-6.392519,4.596867,00:44:11.872000
6.885724,-6.473921,4.510676,00:44:11.884000
6.900089,-6.512228,4.443638,00:44:11.898000
6.904878,-6.497863,4.462792,00:44:11.921000
6.880936,-6.488286,4.529830,00:44:11.935000
6.852205,-6.493075,4.582502,00:44:11.969000
6.852205,-6.483498,4.577713,00:44:11.995000
6.885724,-6.449979,4.529830,00:44:12.010000
6.914454,-6.435614,4.515464,00:44:12.021000
6.900089,-6.478710,4.534618,00:44:12.037000
6.856994,-6.545747,4.548983,00:44:12.056000
6.833052,-6.569689,4.553771,00:44:12.079000
6.880936,-6.507440,4.558560,00:44:12.101000
6.967127,-6.416461,4.563348,00:44:12.115000
6.986280,-6.368577,4.568137,00:44:12.145000
6.871359,-6.196194,4.668694,00:44:12.159000
6.804321,-6.095637,4.711789,00:44:12.179000
6.861782,-5.544971,4.630386,00:44:12.201000
6.991069,-5.324705,4.486734,00:44:12.215000
7.287950,-5.147533,3.950433,00:44:12.249000
7.694964,-5.966351,3.447650,00:44:12.261000
8.116343,-7.038953,3.189077,00:44:12.279000
8.169016,-7.201759,3.098097,00:44:12.301000
8.145074,-7.594408,3.356671,00:44:12.316000
8.058883,-8.571242,3.830723,00:44:12.341000
7.417237,-8.834604,4.194642,00:44:12.356000
6.282385,-8.173804,4.472369,00:44:12.385000
5.128380,-7.283162,4.860229,00:44:12.399000
4.347870,-6.655881,5.238513,00:44:12.425000
3.926491,-6.263232,5.281609,00:44:12.439000
3.768473,-5.971139,5.075707,00:44:12.456000
3.950433,-6.066907,4.999093,00:44:12.477000
4.529830,-6.402095,5.051765,00:44:12.503000
5.267244,-6.593631,5.133168,00:44:12.517000
5.841852,-7.096414,5.200206,00:44:12.544000
6.335058,-8.116343,5.406107,00:44:12.558000
6.593631,-8.810662,5.884948,00:44:12.581000
6.258443,-8.710106,6.296751,00:44:12.599000
5.659893,-8.413225,6.315904,00:44:12.621000
5.209783,-8.121132,6.095637,00:44:12.637000
4.845864,-7.680599,5.995081,00:44:12.664000
4.501099,-7.254431,6.095637,00:44:12.678000
4.266468,-7.096414,6.181829,00:44:12.701000
4.261679,-6.995857,6.100426,00:44:12.719000
4.424485,-6.588843,5.937620,00:44:12.741000
4.678270,-5.980716,5.817910,00:44:12.759000
5.209783,-5.789180,5.640739,00:44:12.784000
6.023811,-6.014235,5.410896,00:44:12.799000
6.622362,-6.009446,5.300763,00:44:12.825000
6.756437,-6.224925,5.291186,00:44:12.840000
6.550536,-6.967127,5.468357,00:44:12.857000
5.985504,-7.469909,5.846641,00:44:12.880000
5.276821,-7.632715,6.105214,00:44:12.901000
4.644751,-7.580042,6.124368,00:44:12.919000
4.132392,-7.235278,6.033388,00:44:12.941000
3.873818,-6.885724,6.004658,00:44:12.959000
3.940856,-6.670246,6.066907,00:44:12.981000
4.314352,-6.675035,6.133945,00:44:12.999000
4.917690,-6.469133,6.047753,00:44:13.023000
5.588067,-5.702989,5.736507,00:44:13.038000
6.445191,-5.252879,5.228937,00:44:13.064000
7.709330,-5.702989,4.754885,00:44:13.078000
8.394072,-7.177817,5.473145,00:44:13.105000
7.781156,-8.135497,6.631939,00:44:13.119000
6.751649,-7.776367,6.545747,00:44:13.143000
5.798757,-7.120356,5.770026,00:44:13.158000
4.970363,-6.335058,5.233725,00:44:13.184000
4.501099,-5.750873,5.166687,00:44:13.199000
4.232949,-5.645528,5.295974,00:44:13.225000
4.007894,-5.827487,5.458780,00:44:13.240000
3.825934,-6.057330,5.750873,00:44:13.257000
3.701436,-6.244078,6.397307,00:44:13.280000
3.854665,-6.737284,7.378930,00:44:13.302000
4.352659,-7.752425,8.226477,00:44:13.321000
5.195418,-6.880936,6.919243,00:44:13.339000
7.982268,-3.696647,5.573701,00:44:13.364000
10.022128,-4.774038,6.919243,00:44:13.378000
8.738836,-7.733272,7.038953,00:44:13.405000
7.297527,-6.598420,4.596867,00:44:13.419000
6.895301,-5.578490,3.160346,00:44:13.444000
6.517017,-6.311116,4.285621,00:44:13.459000
5.463568,-6.828263,6.162675,00:44:13.484000
4.036624,-6.828263,7.024588,00:44:13.498000
2.992752,-6.698977,6.545747,00:44:13.524000
2.518700,-6.607996,5.559336,00:44:13.538000
2.217031,-6.454768,5.118803,00:44:13.564000
1.833959,-6.196194,5.525817,00:44:13.579000
1.412579,-6.330269,6.531382,00:44:13.604000
1.312023,-6.646304,7.173028,00:44:13.631000
1.699883,-9.188946,9.639056,00:44:13.644000
2.044648,-9.935937,10.261548,00:44:13.662000
6.507440,-2.825158,5.444415,00:44:13.678000
9.437943,0.339977,4.678270,00:44:13.698000
14.288596,-0.153229,8.226477,00:44:13.727000
11.415554,-7.671022,7.963115,00:44:13.741000
8.508993,-7.441179,3.332729,00:44:13.767000
7.345411,-4.879383,1.546654,00:44:13.781000
6.579266,-5.889736,3.854665,00:44:13.807000
5.272032,-7.206547,6.488286,00:44:13.821000
3.605668,-7.101202,7.005434,00:44:13.843000
2.217031,-6.742072,5.975927,00:44:13.857000
1.690306,-6.924031,4.826711,00:44:13.885000
1.709460,-6.971915,4.443638,00:44:13.899000
1.656788,-6.105214,4.750096,00:44:13.927000
1.642422,-5.616797,5.324705,00:44:13.941000
1.987187,-6.579266,6.268020,00:44:13.967000
2.250550,-7.996634,7.714118,00:44:13.980000
2.126051,-7.891289,8.580819,00:44:14.007000
2.418144,-3.236961,3.811569,00:44:14.020000
10.031705,0.397437,2.964022,00:44:14.058000
16.189592,-5.937620,9.222465,00:44:14.073000
12.655750,-11.621455,8.992621,00:44:14.084000
8.480263,-7.072472,3.265691,00:44:14.102000
6.555324,-2.901772,0.407014,00:44:14.118000
6.287174,-5.166687,2.820370,00:44:14.138000
5.755661,-8.106767,6.186617,00:44:14.168000
4.295198,-8.983045,7.158663,00:44:14.181000
2.533065,-8.571242,6.114791,00:44:14.208000
1.441309,-7.235278,4.898537,00:44:14.221000
1.307234,-6.239290,4.343082,00:44:14.245000
1.508347,-6.248867,4.788404,00:44:14.259000
1.651999,-6.967127,6.239290,00:44:14.287000
1.805228,-8.925584,8.283937,00:44:14.301000
2.154782,-11.880029,10.314221,00:44:14.327000
5.152322,-8.983045,5.573701,00:44:14.340000
14.231135,-2.566584,4.319140,00:44:14.367000
16.256630,-3.845088,10.055647,00:44:14.380000
8.350976,-6.042965,8.101978,00:44:14.407000
4.596867,-2.044648,1.613692,00:44:14.420000
5.324705,-0.114922,-1.058237,00:44:14.447000
6.636727,-4.338294,1.829170,00:44:14.460000
6.603208,-9.097966,5.707777,00:44:14.498000
4.893748,-10.223241,7.331046,00:44:14.513000
2.729390,-9.121908,6.856994,00:44:14.530000
1.728614,-8.422802,5.449203,00:44:14.546000
1.651999,-8.111555,4.328717,00:44:14.560000
1.570596,-7.192182,4.094085,00:44:14.577000
1.489193,-6.497863,4.486734,00:44:14.604000
1.608904,-6.847417,5.549759,00:44:14.617000
1.996764,-8.643068,7.441179,00:44:14.644000
2.494758,-11.022904,9.500193,00:44:14.657000
2.825158,-9.868899,8.044518,00:44:14.683000
8.432379,-1.077391,3.002329,00:44:14.696000
14.834474,1.321599,4.333505,00:44:14.723000
12.507310,-5.894525,7.809886,00:44:14.739000
8.216900,-8.221688,4.582502,00:44:14.766000
6.847417,-5.525817,1.450886,00:44:14.780000
6.004658,-4.256891,2.676718,00:44:14.806000
5.353435,-6.244078,5.564125,00:44:14.821000
5.042189,-8.082825,6.995857,00:44:14.846000
4.113238,-8.437167,6.813898,00:44:14.860000
2.906561,-7.565677,6.081272,00:44:14.886000
2.494758,-6.885724,5.559336,00:44:14.900000
2.772485,-7.096414,5.295974,00:44:14.935000
3.088520,-7.503428,5.195418,00:44:14.948000
3.169923,-7.393295,5.305551,00:44:14.962000
3.136404,-7.206547,5.664681,00:44:14.981000
3.265691,-7.809886,6.397307,00:44:15.005000
3.509900,-8.911219,7.881712,00:44:15.019000
3.816358,-9.385271,9.619903,00:44:15.046000
4.007894,-8.901642,9.662998,00:44:15.061000
9.222465,-1.896208,4.486734,00:44:15.088000
12.114660,-1.101333,4.165911,00:44:15.101000
10.472239,-8.001422,8.236053,00:44:15.127000
