x,y,z,time
-5.904101,-12.186486,0.258574,00:44:10.433000
-4.544195,-10.534488,0.550666,00:44:10.446000
-0.584185,-9.035717,-0.052672,00:44:10.474000
2.173935,-5.137957,1.479617,00:44:10.487000
1.766921,1.120486,3.442862,00:44:10.512000
-0.967257,5.559336,4.663905,00:44:10.526000
-4.434062,1.628057,4.309563,00:44:10.554000
-6.502652,-11.314998,1.594538,00:44:10.567000
-3.505111,-21.825542,-1.470040,00:44:10.592000
3.931279,-23.506271,-3.452439,00:44:10.606000
8.944737,-22.850262,-3.926491,00:44:10.634000
11.702858,-22.615629,-2.762909,00:44:10.647000
13.704411,-18.459295,-1.273715,00:44:10.686000
9.548077,-9.548077,-0.962469,00:44:10.699000
6.986280,-2.102109,-2.164358,00:44:10.712000
14.398729,-1.551443,-3.864242,00:44:10.728000
16.606182,-3.356671,-1.379060,00:44:10.748000
10.261548,-6.746861,3.007117,00:44:10.773000
13.086706,-16.419436,4.003105,00:44:10.789000
18.593370,-22.998701,3.026271,00:44:10.813000
14.580688,-19.924547,1.321599,00:44:10.829000
8.633492,-13.244724,-0.110133,00:44:10.856000
4.333505,-7.675811,-0.162806,00:44:10.871000
0.095768,-4.548983,1.431733,00:44:10.893000
-3.653552,-3.241749,3.021482,00:44:10.912000
-5.870583,-2.456451,3.457227,00:44:10.932000
-5.458780,-1.651999,3.342306,00:44:10.954000
-2.829947,-1.201889,2.796427,00:44:10.968000
-1.628057,-6.057330,-2.691083,00:44:11.002000
-5.243302,-15.260642,-5.161899,00:44:11.014000
-8.518570,-16.788143,-0.837971,00:44:11.028000
-4.663905,-10.548853,0.387861,00:44:11.058000
1.268927,-4.788404,0.842759,00:44:11.072000
2.518700,-1.010353,2.059013,00:44:11.092000
0.359130,2.327164,2.748544,00:44:11.114000
-2.269703,4.084508,1.958457,00:44:11.137000
-7.048530,-3.835511,1.173159,00:44:11.161000
-8.643068,-15.744270,-0.684742,00:44:11.174000
-0.330400,-21.150377,-4.520253,00:44:11.189000
8.978256,-22.960394,-6.291962,00:44:11.212000
12.684481,-26.513390,-5.463568,00:44:11.234000
15.222335,-26.671408,-2.135628,00:44:11.249000
13.163321,-15.859192,0.502782,00:44:11.279000
5.147533,-3.179500,-0.349553,00:44:11.292000
3.342306,3.725378,-2.882619,00:44:11.314000
11.238382,4.563348,-0.756568,00:44:11.328000
16.357185,-0.450110,6.100426,00:44:11.356000
18.009186,-9.849746,7.675811,00:44:11.370000
18.440142,-22.093693,4.721366,00:44:11.398000
15.275007,-26.077644,2.250550,00:44:11.411000
11.937490,-17.266983,-0.033519,00:44:11.436000
7.149086,-7.532158,-1.235408,00:44:11.450000
1.699883,-3.347094,-1.120486,00:44:11.478000
-2.351106,-2.810793,0.459687,00:44:11.491000
-4.304775,-2.758120,2.379837,00:44:11.516000
-4.252102,-2.279280,2.887407,00:44:11.530000
-3.145981,-2.202666,1.565808,00:44:11.571000
-2.557007,-4.180276,-0.392649,00:44:11.586000
